Aspect,Review
Aesthetics,Try hardening the container like glacier  dispenser water
Aesthetics,To be delivered with caution....my bottle looks like someone strangled it...it gat depressions and bruises
Price,I ordered 7 pc 18. 5 litres of aquamist water. For each bottle I was charged 100 shillings per bottle for delivery total 700. Yet the delivery was done once for 7 pc of bottles. I don't understand how this works.
Price,Good price offer on Jumia
Price,Good deal
price,"I appreciate the cost, unbeatable price to other shops"
Price,Way cheaper than offline stores.
Price,Pocket friendly prices
Price,"Purchased 4 of them then I got a free dispenser. So good so far,  one and year after"
Quality,"So wet, so clear. Water as it should be."
Quality,ORIGINAL BOTTLES WERE COMING WITH BLUE CAP WHICH WAS VERY GOOD QUALITY. THE NEW CAP BLACK IN COLOR IS VERY HARD AND BREAKS THE WATER DISPENSER. UNLESS THEY DON'T CHANGE TO THE ORIGINAL I WOULD NOT BUY BECAUSE TO REPAIR THE DISPENSER IS VERY COSTLY. IT IS STUPID AND POUND FOOLISH TO SAVE A FEW COINS THEY USE SUNSTANDARD MATERIAL.
Quality,Very nice
Quality,"So wet, so clear. Water as it should be."
Quality,The water is very nice. The problem is delivery. They don't package it well most of the time and it arrives with seal broken or dusty/ muddy bottle. I think they let it keep rolling in the dusty back of their vans. I stopped ordering but if you package better I will definitely order again.
Quality,Clean and cool water
Quality,Perfect
Quality,Good water
Quality,I like it
Quality,Genuine
Quality,Clean and safe water
Quality,As described
Quality,Good water
Quality,Try it's the best water
Quality,well bottled and refreshing to drink!
Quality,Good water
Quality,"Delivered on time, in good condition."
Quality,We are happy with the product
Taste,Tasted filtered so it was good
Taste,I like the water taste
Taste,Great taste
Taste,Tasted filtered so it was good
Taste,I like the water taste
Taste,Great taste
Taste,It tastes good not salty
Taste,Bought this only to find it has a salty taste like borehole water. I feel conned.
Taste,"Good quality, nice taste- not full of chloride taste."
